18:15:08:079 [ALWAYS]	GUDE Logging Started
18:15:08:080 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
18:15:08:080 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
18:15:08:080 [ERROR]	Initialize resume cache pointer failure
18:15:08:080 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
18:15:08:080 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
18:15:16:978 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
18:15:16:979 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
18:15:16:979 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
18:15:16:979 [ERROR]	Initialize resume cache pointer failure
18:15:16:979 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
18:15:16:979 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
